Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
P/S KĐR Baking Soda & Hương Thảo 180g (Tuýp),Chăm sóc răng miệng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
P/S KĐR Bé Ngoan Hương Dâu 35g (Cái),Chăm sóc răng miệng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
P/S KĐR Ngừa Sâu Răng Vượt Trội 100g (Tuýp),Chăm sóc răng miệng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
P/S KĐR Ngừa Sâu Răng Vượt Trội 180g (Ống),Chăm sóc răng miệng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Phở Vifon thịt bò 120g (Tô),Thực phẩm ăn liền,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Rong biển giòn trộn hải sản O\'Food 40g (Gói),"Mứt, thạch, rong biển",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
"Rong biển giòn trộn óc chó, hạnh nhân O\'Food 40g (Gói)","Mứt, thạch, rong biển",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUNLIGHT NRC Chanh túi 1.4kg (Cái),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUNLIGHT NRC Thiên Nhiên Lô Hội 750g (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUNLIGHT NRC Thiên Nhiên lô hội túi 3.3kg (Túi),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUNLIGHT NRC Thiên nhiên Gừng chai 750g (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUNLIGHT Nước Lau Kính Siêu Nhanh 520ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUTIKI NLS hương thanh trúc chiết xuất bưởi tươi 950g (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
SUTIKI Nước tẩy bồn cầu và nhà tắm XANH chai 750ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sunlight NRC chanh 750g (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sunsilk DG ngăn rụng tóc vương vấn NH 650g (Chai),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sunsilk DG vàng mềm mượt diệu kỳ 320g (Cái),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sunsilk DG đen óng mượt rạng ngời 320g (Cái),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sunsilk DX mềm mượt diệu kỳ 640g (Chai),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
"Sunsilk DX ngăn rụng tóc, vương vấn NH 320g (Tuýp)",Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sunsilk DX đen óng mượt rạng ngời 320g (Chai),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sutiki Nước tẩy bồn cầu và nhà tắm đen chai 750ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sữa bịch vinamilk ca cao 220ml (Bịch),Sữa nước các loại,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sữa dinh dưỡng không đường VNM túi 220ml (Túi),Sữa nước các loại,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sữa Ông Thọ trắng380g (Hộp),Sữa đặc,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Sữa đậu nành Fami Go vị đậu đỏ nếp cẩm 200ml (Hộp),Sữa nước các loại,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Thiên Hùng yến sào đường phèn lọ 70ml (Hũ),Sữa bột,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Thạch rau câu Kimiko túi 450g (Túi),"Mứt, thạch, rong biển",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Thạch rau câu bổ sung Canxi Long Hải 500g (Gói),"Mứt, thạch, rong biển",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Trà Cozy tắc mật ong 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Trà Cozy vải 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Trà Cozy ổi hồng 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Trà sữa Kirin Latte hương dâu 440ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Trà sữa Kirin Latte hương đào 440ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Trà đào sả COZY 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Tẩy WC okay (hồng) 960ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
VIM trắng sáng Lavender và than hoạt tính 870ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Xả vải khô Zesty hồng chai 100ml (Chai),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
MILO Uong Lien 12 MOI KM 110ml (Hộp),Sữa nước các loại,Nested Pack,Pattern nested: XX(YYxZZZml) (VD: 12(4x110ml)),
NESCAFE 3in1 Rang Dam Hop 24 16g (Hộp),Trà,Nested Pack,Pattern nested: XX(YYxZZZml) (VD: 12(4x110ml)),
NESCAFE CAFE VIET HOP 24 16g  (Hộp),Trà,Nested Pack,Pattern nested: XX(YYxZZZml) (VD: 12(4x110ml)),
Sua Lua Mach NESTLE MILO  Moi 110ml (Hộp),Sữa nước các loại,Nested Pack,Pattern nested: XX(YYxZZZml) (VD: 12(4x110ml)),
Sua Lua Mach NESTLE MILO  180ml Moi 180ml (Hộp),Sữa nước các loại,Nested Pack,Pattern nested: XX(YYxZZZml) (VD: 12(4x110ml)),
TPBS Sua Lua Mach Nestle MILO A2 110ml (Hộp),Sữa nước các loại,Nested Pack,Pattern nested: XX(YYxZZZml) (VD: 12(4x110ml)),
Comfort NX HNH thiên nhiên quyến rũ 20ml (Gói),Giặt giũ và chăm sóc quần áo,Combo Pattern,Pattern combo: XXml x YY / ZZ (VD: 20mlx10/30),
Kun sữa chua uống lên men hương cam 110ml (Hộp),Sữa nước các loại,Combo Pattern,Pattern combo: XXml x YY / ZZ (VD: 20mlx10/30),
STTT ít đường Vinamilk 180ml (Hộp),Sữa nước các loại,Combo Pattern,Pattern combo: XXml x YY / ZZ (VD: 20mlx10/30),
Sữa bắp non LOF 180ml (Hộp),Sữa nước các loại,Combo Pattern,Pattern combo: XXml x YY / ZZ (VD: 20mlx10/30),
Sữa chua uống Kun hương táo xoài chai 85ml (Hộp),Sữa nước các loại,Combo Pattern,Pattern combo: XXml x YY / ZZ (VD: 20mlx10/30),
Sữa trái cây Lif Kun hương nho 180ml (Hộp),Sữa nước các loại,Combo Pattern,Pattern combo: XXml x YY / ZZ (VD: 20mlx10/30),
P/S KĐR Trắng Răng Than Hoạt Tính & Tre 180g (Tuýp),Chăm sóc răng miệng,Piece Count P,Piece count pattern: XX P (VD: 12P),
BÁNH C-PIE 12P LESSSYGAR_7Y25 (Hộp),,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh Custas 06P (Hộp),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh Custas 12P (Hộp),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh Custas  LessSugar 12P (Hộp),,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh Goute 4P (Hộp),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh Goute Cre Đậu Phộng 16P (Hộp),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh Ăn Sáng CEST 8P (Gói),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
Bánh ĂnSáng Gà CEST 5P (Gói),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
BánhĂnSángCEST SW PM 6P (Gói),,Piece Count P,Piece count pattern: XX P (VD: 12P),
Hộp Quà Tặng OPERA 16P (Hộp),Bánh,Piece Count P,Piece count pattern: XX P (VD: 12P),
Sting Hương vị Việt Quất Lon 320ml (Lon),Nước ngọt,Piece Count P,Piece count pattern: XX P (VD: 12P),
Găng tay THSH GREEN ECO (size XL)  (Hộp),,Piece Count Cai,Piece count pattern: XX cái (VD: 48 cái),
Găng tay TPE STAHAUS (size M) (HỘP),,Piece Count Cai,Piece count pattern: XX cái (VD: 48 cái),
Đùi tỏi rán K&U-L  (Gói),Thực phẩm đông lạnh,Piece Count Cai,Piece count pattern: XX cái (VD: 48 cái),
A3 BG gói 3KG (Gói),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
A3 BG gói 4.2KG (Gói),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
A3 BG gói 5.5KG (Gói),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
AFC LUA MI 172g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
AFC RAU 172g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
AMBI Xịt phòng hương hoa tươi mát chai 300ml (Chai),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
AMBI sáp thơm Hương DNY đam mê lọ 180g (Lọ),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
ARIEL T SEN NHAI CN 3.05Kg (Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Aji Tẩm bột khô chiên giòn (Túi),Bột các loại,No Weight,Không có weight/volume trong tên,
Aquafina Chai nhựa 1500ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Aquafina Chai nhựa 5000ml(Can),Nước ngọt,No Weight,Không có weight/volume trong tên,
Aquafina Chai nhựa 500ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Aquafina chai nhựa 355ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Ariel BG hương downy đam mê 3.6 Kg (Gói),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Ariel BG hương nắng mai 4.0 Kg (Gói),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
