Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,Đặt NCC,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Quản lý lô-hạn sử dụng,Trọng lượng,Tích điểm,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần,Lô 1,Hạn sử dụng 1,Tồn 1
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001533-1,8801043064095,Nước Welch'S zero hương nho tím 355ml*24,,"384,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"41,666,666.625",Thùng,11001533,24.0,,11001533,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001532,8801043450690,Nước Uống Hoa Quả Welchs vị nho 355ml*24,,"16,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Lon,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2026/01/30/bachhoabn/624bbcf6ba4640478a82e0ea9db0f6f9.jpeg,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001532-1,8801043066303,Nước Uống Hoa Quả Welchs vị nho 355ml*24,,"384,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"41,666,666.625",Thùng,11001532,24.0,,11001532,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001531,8801043450706,Nước Uống Hoa Quả Welchs vị dâu 335ml*24,,"16,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Lon,,1.0,,,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Nước ngọt>>Nước giải khát,11001531-1,8801043900126,Nước Uống Hoa Quả Welchs vị dâu 335ml*24,,"32,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"41,666,666.625",Thùng,11001531,24.0,,11001531,,0,0.0,1,1,1,,,,,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000020,,Phụ Kiện túi quà,,"22,000.0","22,000.0",0.0,0.0,0.0,0 ngày,0.0,0.0,Set,,1.0,,,,0,0.0,1,1,1,,,,,,,
Hàng hóa,"Gạo, bột và thực phẩm khô>>Thực phẩm ăn liền>>Miến, bún, nui, bánh đa.. Đồ khô",09001423,8859522968693,Miến dong Lào gói 200g,,"25,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Gói,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,Đồ uống>>Rượu>>Rượu,11001530,,Rượu Chivas Regal 12 75C,,"700,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Chai,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,Thủ công>>Sự kiện>>Tết,29000017,,Phụ kiện hộp-02,,"115,000.0","100,000.0",0.0,0.0,0.0,0 ngày,0.0,0.0,Set,,1.0,,,,0,,1,1,1,,,,,,,
Hàng hóa,"Bánh, kẹo, snack>>Hạt, trái cây sấy>>Trái cây sấy",14000503,8936209532160,Táo Đỏ Thủy Tinh Bé,,"27,000.0",0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",Lọ,,1.0,,,https://cdn1-retail-images.kiotviet.vn/2026/01/26/bachhoabn/4b32025fcd304d4f839bea919746088c.jpeg,0,0.0,1,1,1,,,,,,,
